NewBudget,Score,Metascore,Genre,Genre1,Genre2,Genre3,Director,Revenue
150000000.0,5.7,,Thriller,Thriller,,,Paul Currie,
150000000.0,6.9,,Drama,Drama,,,Murali K. Thalluri,
110000000.0,5.7,,"Crime, Drama, Thriller",Crime, Drama, Thriller,Gary Lennon,
200000000.0,7.2,65.0,"Crime, Drama, Horror",Crime, Drama, Horror,Greg Marcks,
190000000.0,7.1,60.0,"Animation, Action, Adventure",Animation, Action, Adventure,Shane Acker,31740000.0
135000000.0,6.0,68.0,"Comedy, Romance",Comedy, Romance,,Blake Edwards,74870000.0
155000000.0,7.7,72.0,"Crime, Drama, Thriller",Crime, Drama, Thriller,Nikita Mikhalkov,130000.0
108000000.0,6.1,29.0,"Drama, Thriller",Drama, Thriller,,G??la Babluani,0.0
74000000.0,6.8,48.0,"Crime, Drama, History",Crime, Drama, History,Robert Luketic,81160000.0
175000000.0,7.3,,"Thriller, Drama",Thriller, Drama,,Hans-Christian Schmid,0.0
245000000.0,7.9,,"Action, Sci-Fi, Thriller",Action, Sci-Fi, Thriller,Vikram K. Kumar,0.0
176000003.0,5.1,35.0,"Horror, Thriller",Horror, Thriller,,Rob Zombie,780000.0
15000000.0,7.2,,"Action, Crime, Drama",Action, Crime, Drama,Olivier Marchal,0.0
88000000.0,7.5,62.0,"Biography, Drama, Sport",Biography, Drama, Sport,Brian Helgeland,95000000.0
280000000.0,5.8,33.0,"Drama, Music",Drama, Music,,Mark Christopher,16570000.0
44000000.0,7.3,,"Drama, History, War",Drama, History, War,??zhan Eren,0.0
48000000.0,7.7,52.0,"Action, Fantasy",Action, Fantasy,,Zack Snyder,210610000.0
130000000.0,6.2,43.0,"Drama, Thriller",Drama, Thriller,,Fernando Meirelles,100000.0
95000000.0,6.8,64.0,"Drama, Horror",Drama, Horror,,Mikael H?fstr??m,71990000.0
160000000.0,7.6,,"Drama, Family, History",Drama, Family, History,Peter H. Hunt,6100000.0
190000000.0,6.3,70.0,"Crime, Drama, Horror",Crime, Drama, Horror,Zak Hilditch,0.0
30000000.0,5.8,34.0,"Action, Comedy, War",Action, Comedy, War,Steven Spielberg,31760000.0
110000000.0,6.8,53.0,"Adventure, Mystery, Sci-Fi",Adventure, Mystery, Sci-Fi,Peter Hyams,40200000.0
40000000.0,5.8,49.0,"Action, Adventure, Sci-Fi",Action, Adventure, Sci-Fi,Roland Emmerich,166110000.0
28000000.0,7.5,78.0,"Drama, Romance, Sci-Fi",Drama, Romance, Sci-Fi,Kar-Wai Wong,260000.0
150000000.0,6.8,69.0,"Crime, Drama, History",Crime, Drama, History,Paul Greengrass,0.0
68000000.0,5.4,,"Comedy, Sci-Fi",Comedy, Sci-Fi,,Michael Herbig,0.0
81000000.0,6.6,,"Comedy, Family, Fantasy",Comedy, Family, Fantasy,Matthew Robbins,32950000.0
20000000.0,7.4,58.0,"Crime, Drama, Thriller",Crime, Drama, Thriller,Norman Jewison,0.0
61000000.0,6.9,,Horror,Horror,,,Lucio Fulci,120000.0
49000000.0,5.4,53.0,"Horror, Thriller",Horror, Thriller,,Jaume Balaguer??,0.0
29000000.0,6.5,52.0,"Horror, Thriller",Horror, Thriller,,Jaume Balaguer??,30000.0
40000000.0,5.0,45.0,"Horror, Thriller",Horror, Thriller,,Paco Plaza,10000.0
58000000.0,8.3,,"Action, Mystery, Thriller",Action, Mystery, Thriller,Sukumar,0.0
6000000.0,7.2,76.0,"Drama, Horror, Mystery",Drama, Horror, Mystery,Dan Trachtenberg,71900000.0
175000000.0,7.6,,"Biography, Crime, Drama",Biography, Crime, Drama,Richard Fleischer,0.0
50000000.0,7.3,70.0,"Comedy, Drama, Romance",Comedy, Drama, Romance,Gil Junger,38180000.0
11000000.0,6.1,61.0,"Comedy, Drama, Romance",Comedy, Drama, Romance,Jamie Linden,200000.0
28000000.0,5.1,34.0,"Action, Adventure, Drama",Action, Adventure, Drama,Roland Emmerich,94780000.0
90000000.0,5.5,,"Horror, Mystery, Thriller",Horror, Mystery, Thriller,Eric Red,0.0
30000000.0,5.9,,"Comedy, Romance",Comedy, Romance,,Michael Davis,0.0
75000000.0,5.7,49.0,"Adventure, Comedy, Crime",Adventure, Comedy, Crime,Stephen Herek,136190000.0
25000000.0,6.9,68.0,"Comedy, Romance",Comedy, Romance,,Baltasar Korm??kur,10000.0
10000000.0,4.9,35.0,"Adventure, Comedy, Family",Adventure, Comedy, Family,Kevin Lima,66960000.0
135000000.0,7.6,65.0,Drama,Drama,,,Michael Cuesta,100000.0
12000000.0,8.9,96.0,"Crime, Drama",Crime, Drama,,Sidney Lumet,4360000.0
30000000.0,5.4,,"Horror, Thriller",Horror, Thriller,,Matt Eskandari,0.0
4000000.0,5.6,38.0,"Action, Crime, Thriller",Action, Crime, Thriller,Renny Harlin,12230000.0
11800000.0,6.6,54.0,"Action, Drama, History",Action, Drama, History,Nicolai Fuglsig,45500000.0
35000000.0,8.1,96.0,"Biography, Drama, History",Biography, Drama, History,Steve McQueen,56670000.0
55000000.0,7.5,84.0,Drama,Drama,,,Robin Campillo,130000.0
60000000.0,7.6,82.0,"Adventure, Biography, Drama",Adventure, Biography, Drama,Danny Boyle,18340000.0
105000000.0,6.1,57.0,"Comedy, Fantasy, Romance",Comedy, Fantasy, Romance,Gary Winick,57230000.0
