Title,Year,Budget,Score,Metascore,Genre,Genre1,Genre2,Genre3,Vote,Director,Runtime,Revenue,Description
2:22,2017, ,5.7,,Thriller,Thriller,,,14734,Paul Currie,98,,"A man's life is derailed when an ominous pattern of events repeats itself in exactly the same manner every day, ending at precisely 2:22 p.m."
2:37,2006, ,6.9,,Drama,Drama,,,6657,Murali K. Thalluri,95,,"At 2:37, someone commits suicide in the school lavatory. The day is told up to that point from the viewpoint of six different students."
0.45,2006, ,5.7,,"Crime, Drama, Thriller",Crime, Drama, Thriller,7700,Gary Lennon,101,,"A story of how obsession, addiction and abuse cause a young woman to execute an elaborate plan of revenge."
11:14,2003, ,7.2,65,"Crime, Drama, Horror",Crime, Drama, Horror,41259,Greg Marcks,86,,"The events leading up to an 11:14 p.m. car crash, from five very different perspectives."
9,2009,30000000.00,7.1,60,"Animation, Action, Adventure",Animation, Action, Adventure,122986,Shane Acker,79,31740000.00,A rag doll that awakens in a postapocalyptic future holds the key to humanity's salvation.
10,1979, ,6,68,"Comedy, Romance",Comedy, Romance,,13668,Blake Edwards,122,74870000.00,"A Hollywood composer goes through a mid-life crisis and becomes infatuated with a sexy, newly married woman."
12,2007, ,7.7,72,"Crime, Drama, Thriller",Crime, Drama, Thriller,12842,Nikita Mikhalkov,159,130000.00,Twelve jurors must decide the fate of a Chechen adolescent charged with murdering his stepfather.
13,2010, ,6.1,29,"Drama, Thriller",Drama, Thriller,,37730,G??la Babluani,91,0.00,"A naive young man assumes a dead man's identity and finds himself embroiled in an underground world of power, violence, and chance where men gamble behind closed doors on the lives of other men."
21,2008,35000000.00,6.8,48,"Crime, Drama, History",Crime, Drama, History,209187,Robert Luketic,123,81160000.00,"""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings."
23,1998, ,7.3,,"Thriller, Drama",Thriller, Drama,,6057,Hans-Christian Schmid,99,0.00,"The movie's plot is based on the true story of a group of young computer hackers from Hannover, Germany. In the late 1980s the orphaned Karl Koch invests his inheritance in a flat and a ...                See full summary?˜??"
24,2016, ,7.9,,"Action, Sci-Fi, Thriller",Action, Sci-Fi, Thriller,13832,Vikram K. Kumar,164,0.00,"A scientist invents a time machine, which leads to a bitter battle between his evil twin brother and his son."
31,2016, ,5.1,35,"Horror, Thriller",Horror, Thriller,,14150,Rob Zombie,102,780000.00,"Five carnival workers are kidnapped and held hostage in an abandoned, Hell-like compound where they are forced to participate in a violent game, the goal of which is to survive twelve hours against a gang of sadistic clowns."
36,2004, ,7.2,,"Action, Crime, Drama",Action, Crime, Drama,15168,Olivier Marchal,111,0.00,"In the underbelly of the Parisian criminal world, the Police are frustrated by a gang committing a series of violent robberies. Leo Vrinks and Denis Klein are two cops seeking promotion, ...                See full summary?˜??"
42,2013,31000000.00,7.5,62,"Biography, Drama, Sport",Biography, Drama, Sport,75463,Brian Helgeland,128,95000000.00,"In 1947, Jackie Robinson becomes the first African-American to play in Major League Baseball in the modern era when he was signed by the Brooklyn Dodgers and faces considerable racism in the process."
54,1998,13000000.00,5.8,33,"Drama, Music",Drama, Music,,29821,Mark Christopher,93,16570000.00,The famous 1970s New York City nightclub seen and told through the eyes of a young employee.
120,2008, ,7.3,,"Drama, History, War",Drama, History, War,6018,??zhan Eren,114,0.00,"During the Sarikamis Battle, the Ottoman army runs out of ammunition and appeals to the people of Van for help, who happen to have supplies. However, the First World War is on and all men ...                See full summary?˜??"
300,2006,60000000.00,7.7,52,"Action, Fantasy",Action, Fantasy,,675043,Zack Snyder,117,210610000.00,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.
360,2011, ,6.2,43,"Drama, Thriller",Drama, Thriller,,14787,Fernando Meirelles,110,100000.00,A dramatic thriller that weaves together the stories of an array of people from disparate social backgrounds through their intersecting relationships.
1408,2007,22500000.00,6.8,64,"Drama, Horror",Drama, Horror,,236461,Mikael H?fstr??m,104,71990000.00,"A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror."
1776,1972, ,7.6,,"Drama, Family, History",Drama, Family, History,6972,Peter H. Hunt,141,6100000.00,A musical retelling of the American Revolution's political struggle in the Continental Congress to declare independence.
1922,2017, ,6.3,70,"Crime, Drama, Horror",Crime, Drama, Horror,30334,Zak Hilditch,102,0.00,"A simple yet proud farmer in the year 1922 conspires to murder his wife for financial gain, convincing his teenage son to assist. But their actions have unintended consequences."
1941,1979,32000000.00,5.8,34,"Action, Comedy, War",Action, Comedy, War,28447,Steven Spielberg,118,31760000.00,Hysterical Californians prepare for a Japanese invasion in the days after Pearl Harbor.
2010,1984, ,6.8,53,"Adventure, Mystery, Sci-Fi",Adventure, Mystery, Sci-Fi,45751,Peter Hyams,116,40200000.00,A joint U.S.-Soviet expedition is sent to Jupiter to learn what happened to the Discovery.
2012,2009,200000000.00,5.8,49,"Action, Adventure, Sci-Fi",Action, Adventure, Sci-Fi,318941,Roland Emmerich,158,166110000.00,A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.
2046,2004,12000000.00,7.5,78,"Drama, Romance, Sci-Fi",Drama, Romance, Sci-Fi,45911,Kar-Wai Wong,129,260000.00,"Several women enter a science fiction author's life over the course of a few years, after the author has lost the woman he considers his one true love."
22-Jul,2018, ,6.8,69,"Crime, Drama, History",Crime, Drama, History,10964,Paul Greengrass,143,0.00,"A three-part story of Norway's worst terrorist attack in which over seventy people were killed. 22 July looks at the disaster itself, the survivors, Norway's political system and the lawyers who worked on this horrific case."
(T)Raumschiff Surprise - Periode 1,2004, ,5.4,,"Comedy, Sci-Fi",Comedy, Sci-Fi,,12158,Michael Herbig,87,0.00,"Three hundred years in the future, Mars is colonized by humans and their leader Regulator Rogul plans to conquer Earth. Queen K??nigin Metapha is advised to send the gays Captain Kork, the ...                See full summary?˜??"
*batteries not included,1987, ,6.6,,"Comedy, Family, Fantasy",Comedy, Family, Fantasy,27239,Matthew Robbins,106,32950000.00,Apartment block tenants seek the aid of alien mechanical life-forms to save their building from demolition.
...and justice for all.,1979, ,7.4,58,"Crime, Drama, Thriller",Crime, Drama, Thriller,26758,Norman Jewison,119,0.00,"A lawyer is forced to defend a guilty judge, while defending other innocent clients, and trying to find punishment for the guilty and provide justice for the innocent."
...E tu vivrai nel terrore! L'aldil?˜,1981, ,6.9,,Horror,Horror,,,17417,Lucio Fulci,87,120000.00,"A young woman inherits an old hotel in Louisiana where, following a series of supernatural ""accidents"", she learns that the building was built over one of the entrances to Hell."
[Rec],2007, ,7.5,69,"Horror, Mystery, Thriller",Horror, Mystery, Thriller,149150,Jaume Balaguer??,78,0.00,A television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.
[REC] 4: Apocalipsis,2014, ,5.4,53,"Horror, Thriller",Horror, Thriller,,13635,Jaume Balaguer??,95,0.00,"An ill-fated television reporter is rescued and sent on a voyage across the ocean, but she is followed by the deadly virus that has plagued her and numerous others."
[Rec]??,2009, ,6.5,52,"Horror, Thriller",Horror, Thriller,,62329,Jaume Balaguer??,85,30000.00,"In order to ascertain the current situation inside, a supposed medical officer and a GEO team step into the quarantined and ill-fated apartment building."
[Rec]??: G??nesis,2012, ,5,45,"Horror, Thriller",Horror, Thriller,,29829,Paco Plaza,80,10000.00,A couple's wedding day turns horrific as some of the guests start showing signs of a strange illness.
1 - Nenokkadine,2014, ,8.3,,"Action, Mystery, Thriller",Action, Mystery, Thriller,40307,Sukumar,170,0.00,A rock star must overcome his psychological inhibitions to seek revenge for his parents' death.
10 Cloverfield Lane,2016,15000000.00,7.2,76,"Drama, Horror, Mystery",Drama, Horror, Mystery,247999,Dan Trachtenberg,103,71900000.00,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack."
10 Items or Less,2006, ,6.7,54,"Comedy, Drama",Comedy, Drama,,13625,Brad Silberling,82,80000.00,"An actor (Freeman) prepping for an upcoming role meets a quirky grocery clerk (Vega), and the pair hit the road to show one another their respective worlds."
10 Rillington Place,1971, ,7.6,,"Biography, Crime, Drama",Biography, Crime, Drama,6397,Richard Fleischer,111,0.00,"Based on the real-life case of the British serial killer John Christie, and what happened to his neighbors Tim and Beryl Evans."
10 Things I Hate About You,1999,13000000.00,7.3,70,"Comedy, Drama, Romance",Comedy, Drama, Romance,260280,Gil Junger,97,38180000.00,"A pretty, popular teenager can't go out on a date until her ill-tempered older sister does."
10 Years,2011, ,6.1,61,"Comedy, Drama, Romance",Comedy, Drama, Romance,21877,Jamie Linden,100,200000.00,"The night before their high school reunion, a group of friends realize they still haven't quite grown up in some ways."
"10,000 BC",2008, ,5.1,34,"Action, Adventure, Drama",Action, Adventure, Drama,118016,Roland Emmerich,109,94780000.00,A prehistoric epic that follows a young mammoth hunter's journey through uncharted territory to secure the future of his tribe.
100 Feet,2008, ,5.5,,"Horror, Mystery, Thriller",Horror, Mystery, Thriller,11309,Eric Red,96,0.00,"After Marnie Watson kills her abusive husband in self-defense, she is condemned to house arrest... only to discover that the house is possessed by the enraged and violent spirit of her dead husband."
100 Girls,2000, ,5.9,,"Comedy, Romance",Comedy, Romance,,19592,Michael Davis,94,0.00,"This sexy, teen-comedy is about a freshman, Matthew, at college who meets his dream girl in a dorm elevator during a blackout. He never sees her face, but instantly falls in love. In the ...                See full summary?˜??"
101 Dalmatians,1996, ,5.7,49,"Adventure, Comedy, Crime",Adventure, Comedy, Crime,88274,Stephen Herek,103,136190000.00,"An evil high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess."
101 Reykjav??k,2000, ,6.9,68,"Comedy, Romance",Comedy, Romance,,8854,Baltasar Korm??kur,88,10000.00,"Thirty-year-old Hlynur still lives with his mother and spends his days drinking, watching porn and surfing the net while living off unemployment checks. A girl is interested in him, but he ...                See full summary?˜??"
102 Dalmatians,2000,85000000.00,4.9,35,"Adventure, Comedy, Family",Adventure, Comedy, Family,30516,Kevin Lima,100,66960000.00,Cruella DeVil gets out of prison and goes after the puppies once more.
12 and Holding,2005, ,7.6,65,Drama,Drama,,,6430,Michael Cuesta,94,100000.00,"After his twin brother is accidentally killed by vengeful bullies, a 12-year old boy and his friends face the harsh realities of death, teenage hormones, and family dysfunction."
12 Angry Men,1957, ,8.9,96,"Crime, Drama",Crime, Drama,,563791,Sidney Lumet,96,4360000.00,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
12 Feet Deep,2017, ,5.4,,"Horror, Thriller",Horror, Thriller,,8424,Matt Eskandari,85,0.00,"Inspired by true events, two sisters are trapped under the fiberglass cover of an Olympic sized public pool and must brave the cold and each other to survive the harrowing night."
12 Rounds,2009,20000000.00,5.6,38,"Action, Crime, Thriller",Action, Crime, Thriller,25338,Renny Harlin,108,12230000.00,"Detective Danny Fisher discovers his girlfriend has been kidnapped by a ex-con tied to Fisher's past, and he'll have to successfully complete 12 challenges in order to secure her safe release."
12 Strong,2018,35000000.00,6.6,54,"Action, Drama, History",Action, Drama, History,39900,Nicolai Fuglsig,130,45500000.00,"12 Strong tells the story of the first Special Forces team deployed to Afghanistan after 9/11; under the leadership of a new captain, the team must work with an Afghan warlord to take down the Taliban."
12 Years a Slave,2013,20000000.00,8.1,96,"Biography, Drama, History",Biography, Drama, History,553594,Steve McQueen,134,56670000.00,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
120 BPM (Beats Per Minute),2017, ,7.5,84,Drama,Drama,,,9101,Robin Campillo,143,130000.00,Members of the advocacy group ACT UP Paris demand action by the government and pharmaceutical companies to combat the AIDS epidemic in the early 1990s.
127 Hours,2010,18000000.00,7.6,82,"Adventure, Biography, Drama",Adventure, Biography, Drama,314796,Danny Boyle,94,18340000.00,"An adventurous mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive."
13 Going on 30,2004,37000000.00,6.1,57,"Comedy, Fantasy, Romance",Comedy, Fantasy, Romance,142485,Gary Winick,98,57230000.00,"A girl makes a wish on her thirteenth birthday, and wakes up the next day as a thirty-year-old woman."
13 Hours,2016, ,7.3,48,"Action, Drama, History",Action, Drama, History,97812,Michael Bay,144,52850000.00,"During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos."
13 Minutes,2015, ,7,58,"Biography, Drama, War",Biography, Drama, War,6764,Oliver Hirschbiegel,114,160000.00,"In November 1939, Georg Elser's attempt to assassinate Adolf Hitler fails, and he is arrested. During his confinement, he recalls the events leading up to his plot and his reasons for deciding to take such drastic action."
13 Sins,2014, ,6.3,44,"Horror, Thriller",Horror, Thriller,,28438,Daniel Stamm,93,10000.00,"A cryptic phone call sets off a dangerous game of risks for Elliot, a down-on-his luck salesman. The game promises increasing rewards for completing 13 tasks, each more sinister than the last."
13 Tzameti,2005, ,7.4,61,"Crime, Drama, Thriller",Crime, Drama, Thriller,15872,G??la Babluani,93,120000.00,A man takes over a dead man's task but doesn't realize the horror it entails.
1492: Conquest of Paradise,1992, ,6.5,47,"Adventure, Biography, Drama",Adventure, Biography, Drama,25462,Ridley Scott,154,7190000.00,Christopher Columbus' discovery of the Americas and the effect this has on the indigenous people.
15 Minutes,2001,42000000.00,6.1,34,"Action, Crime, Drama",Action, Crime, Drama,45780,John Herzfeld,120,24400000.00,A homicide detective and a fire marshal must stop a pair of murderers who commit videotaped crimes to become media darlings.
16 Blocks,2006,45000000.00,6.6,63,"Action, Crime, Drama",Action, Crime, Drama,119982,Richard Donner,102,36880000.00,"An aging alcoholic cop is assigned the task of escorting a witness from police custody to a courthouse 16 blocks away. There are, however, chaotic forces at work that prevent them from making it in one piece."
17 Again,2009,40000000.00,6.4,48,"Comedy, Drama, Fantasy",Comedy, Drama, Fantasy,162592,Burr Steers,102,64170000.00,Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.
2 Days in New York,2012, ,6,61,"Comedy, Drama, Romance",Comedy, Drama, Romance,13113,Julie Delpy,96,630000.00,"Manhattan couple Marion and Mingus, who each have children from prior relationships, find their comfortable family dynamic jostled by a visit from Marion's relatives."
2 Days in Paris,2007, ,6.8,67,"Comedy, Drama, Romance",Comedy, Drama, Romance,28689,Julie Delpy,96,4430000.00,"Marion and Jack try to rekindle their relationship with a visit to Paris, home of Marion's parents -- and several of her ex-boyfriends."
2 Days in the Valley,1996, ,6.5,,"Comedy, Crime, Thriller",Comedy, Crime, Thriller,17018,John Herzfeld,104,11110000.00,48 hours of intersecting lives and crimes in Los Angeles.
2 Fast 2 Furious,2003,76000000.00,5.9,38,"Action, Crime, Thriller",Action, Crime, Thriller,223367,John Singleton,107,127150000.00,Former cop Brian O'Conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself.
2 Guns,2013,61000000.00,6.7,55,"Action, Comedy, Crime",Action, Comedy, Crime,177097,Baltasar Korm??kur,109,75610000.00,"Two hardened criminals get into trouble with the US border patrol after meeting with a Mexican drug lord, and then revelations start to unfold."
2 States,2014, ,6.9,,"Comedy, Drama, Romance",Comedy, Drama, Romance,21078,Abhishek Varman,149,2220000.00,This movie chronicles how Chetan met his wife and the difficulties they faced due to their cultural differences.
20 ans d'??cart,2013, ,6.4,,"Comedy, Romance",Comedy, Romance,,7648,David Moreau,92,0.00,"The thirty-eight year-old ambitious and workaholic editor of the fashion magazine Rebelle Alice Lantins returns from Brazil to Paris and loses her flash memory in the airplane. However, the...                See full summary?˜??"
"20,000 Leagues Under the Sea",1954, ,7.2,,"Adventure, Drama, Family",Adventure, Drama, Family,25256,Richard Fleischer,127,28200000.00,"A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo."
200 Cigarettes,1999, ,5.9,33,"Comedy, Drama, Romance",Comedy, Drama, Romance,13843,Risa Bramon Garcia,101,6850000.00,"A collection of twentysomethings try to cope with relationships, loneliness, desire and their individual neuroses."
2001 Maniacs,2005, ,5.4,,"Comedy, Horror",Comedy, Horror,,11158,Tim Sullivan,87,0.00,"Eight college students travelling to Florida for Spring Break stumble into a remote town in Georgia, where they are set upon by the residents."
2001: A Space Odyssey,1968,10500000.00,8.3,82,"Adventure, Sci-Fi",Adventure, Sci-Fi,,519401,Stanley Kubrick,149,56950000.00,"A space-opera spanning the dawn of man to humanity reaching the stars, 2001: A Space Odyssey tells the story of the Black Monolith, humanity's evolution and the rise of A.I.'s ultimate supercomputer HAL 9000."
2001: A Space Travesty,2000, ,3.4,,"Comedy, Sci-Fi",Comedy, Sci-Fi,,10465,Allan A. Goldstein,99,0.00,When odd reports are received through official channels stating that the President of the United States is being held captive on a secret international moon base called Vegan and that he ...                See full summary?˜??
20th Century Women,2016, ,7.3,83,"Comedy, Drama",Comedy, Drama,,29381,Mike Mills,119,5660000.00,"The story of a teenage boy, his mother, and two other women who help raise him among the love and freedom of Southern California of 1979."
21 & Over,2013, ,5.9,34,Comedy,Comedy,,,67236,Jon Lucas,93,25680000.00,"The night before his big medical school interview, a promising student celebrates his 21st birthday with his two best friends."
21 Grams,2003,20000000.00,7.7,70,"Crime, Drama, Thriller",Crime, Drama, Thriller,208370,Alejandro G. I?¤??rritu,124,16250000.00,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con."
21 Jump Street,2012,42000000.00,7.2,69,"Action, Comedy, Crime",Action, Comedy, Crime,464483,Phil Lord,109,138450000.00,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.
22 Jump Street,2014,50000000.00,7,71,"Action, Comedy, Crime",Action, Comedy, Crime,308485,Phil Lord,112,191720000.00,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college."
24 Hour Party People,2002, ,7.4,85,"Biography, Comedy, Drama",Biography, Comedy, Drama,29672,Michael Winterbottom,117,1130000.00,"In 1976, Tony Wilson sets up Factory Records and brings Manchester's music to the world."
24 Hours to Live,2017, ,5.7,37,"Action, Sci-Fi, Thriller",Action, Sci-Fi, Thriller,8441,Brian Smrz,93,0.00,An assassin seeks redemption after being given a second chance at life.
25th Hour,2002, ,7.7,67,Drama,Drama,,,160536,Spike Lee,135,13060000.00,"Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term."
27 Dresses,2008,30000000.00,6.1,47,"Comedy, Romance",Comedy, Romance,,140470,Anne Fletcher,111,76810000.00,"After serving as a bridesmaid 27 times, a young woman wrestles with the idea of standing by her sister's side as her sibling marries the man she's secretly in love with."
28 Days,2000,43000000.00,6,46,"Comedy, Drama",Comedy, Drama,,39218,Betty Thomas,103,37170000.00,A big-city newspaper columnist is forced to enter a drug and alcohol rehab center after ruining her sister's wedding and crashing a stolen limousine.
28 Days Later...,2002, ,7.6,73,"Drama, Horror, Sci-Fi",Drama, Horror, Sci-Fi,337118,Danny Boyle,113,45060000.00,"Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary."
28 Weeks Later,2007,15000000.00,7,78,"Drama, Horror, Sci-Fi",Drama, Horror, Sci-Fi,236366,Juan Carlos Fresnadillo,100,28640000.00,"Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes to plan."
3 Days to Kill,2014,28000000.00,6.2,40,"Action, Drama, Thriller",Action, Drama, Thriller,79272,McG,117,30700000.00,A dying CIA agent trying to reconnect with his estranged daughter is offered an experimental drug that could save his life in exchange for one last assignment.
3 Idiots,2009, ,8.4,67,"Comedy, Drama",Comedy, Drama,,284324,Rajkumar Hirani,170,6530000.00,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
3 Men and a Baby,1987,15000000.00,5.9,61,"Comedy, Drama, Family",Comedy, Drama, Family,41737,Leonard Nimoy,102,167780000.00,Three bachelors find themselves forced to take care of a baby left by one of the guys' girlfriends.
3 Men and a Little Lady,1990, ,5.3,51,"Comedy, Drama, Family",Comedy, Drama, Family,19973,Emile Ardolino,104,71610000.00,"Sylvia's work increasingly takes her away from the three men who help bring up Mary, her daughter. When she decides to move to England and take Mary with her, the three men are heartbroken ...                See full summary?˜??"
3 Ninja Kids,1992, ,5.2,36,"Action, Comedy, Family",Action, Comedy, Family,18298,Jon Turteltaub,84,29000000.00,"Each year, three brothers, Samuel, Jeffrey and Michael Douglas visit their grandfather, Mori Tanaka, for the summer. Mori is highly skilled in ninjutsu, and for years he has trained the ...                See full summary?˜??"
3 Ninjas Kick Back,1994,20000000.00,4.4,39,"Family, Comedy, Action",Family, Comedy, Action,7559,Charles T. Kanganis,93,11780000.00,"During a championship baseball match, the three brothers hear that their grandfather in Japan is in trouble, and head out to help him, conceding the match. When they arrive in Japan, they ...                See full summary?˜??"
3 Ninjas: High Noon at Mega Mountain,1998, ,2.8,44,"Action, Adventure, Comedy",Action, Adventure, Comedy,9607,Sean McNamara,93,380000.00,"Three young boys, Rocky, Colt and Tum Tum together with their neighbor girl, computer whiz Amanda are visiting Mega Mountain amusement park when it is invaded by an army of ninjas led by ...                See full summary?˜??"
3 Women,1977, ,7.9,71,"Drama, Mystery, Thriller",Drama, Mystery, Thriller,11604,Robert Altman,124,0.00,"Two roommates/physical therapists, one a vain woman and the other a mysterious teenager, share a bizarre relationship."
3:10 to Yuma,2007,48000000.00,7.7,76,"Action, Adventure, Crime",Action, Adventure, Crime,263354,James Mangold,122,53610000.00,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.
3:10 to Yuma,1957,,7.6,,"Drama, Thriller, Western",Drama, Thriller, Western,16109,Delmer Daves,92,0.00,Broke small-time rancher Dan Evans is hired by the stagecoach line to put big-time captured outlaw leader Ben Wade on the 3:10 train to Yuma but Wade's gang tries to free him.
30 Days of Night,2007,30000000.00,6.6,53,"Horror, Thriller",Horror, Thriller,,152864,David Slade,113,39570000.00,"After an Alaskan town is plunged into darkness for a month, it is attacked by a bloodthirsty gang of vampires."
30 Minutes or Less,2011,28000000.00,6.1,49,"Action, Comedy, Crime",Action, Comedy, Crime,85586,Ruben Fleischer,83,37050000.00,"Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and inform him that he has mere hours to rob a bank or else..."
300: Rise of an Empire,2014,110000000.00,6.2,48,"Action, Fantasy, War",Action, Fantasy, War,255181,Noam Murro,102,106580000.00,"Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy."
3000 Miles to Graceland,2001,62000000.00,5.9,21,"Action, Comedy, Crime",Action, Comedy, Crime,40995,Demian Lichtenstein,125,15740000.00,A gang of ex-cons rob a casino during Elvis convention week.
3096 Tage,2013, ,6.4,,"Biography, Crime, Drama",Biography, Crime, Drama,8262,Sherry Hormann,111,0.00,A young Austrian girl is kidnapped and held in captivity for eight years. Based on the factual case of Natascha Kampusch.
3-Iron,2004, ,8.1,72,"Crime, Drama, Romance",Crime, Drama, Romance,43827,Ki-duk Kim,88,240000.00,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.
"4 luni, 3 saptam??ni si 2 zile",2007, ,7.9,97,Drama,Drama,,,50743,Cristian Mungiu,113,1190000.00,A woman assists her friend in arranging an illegal abortion in 1980s Romania.
4.3.2.1.,2010, ,5.8,,"Crime, Thriller",Crime, Thriller,,9843,Noel Clarke,117,0.00,"4 girls out on a 3 days trip in to 2 cities, if they survive. While Jo is working in a supermarket, her 3 friends are all out on their adventures. A chance encounter with diamond thieves sends them on a collision course with fate itself."
40 Days and 40 Nights,2002,17000000.00,5.6,53,"Comedy, Romance",Comedy, Romance,,66249,Michael Lehmann,96,37950000.00,"After a brutal break-up, a young man vows to stay celibate during the forty days of Lent, but finds the girl of his dreams and is unable to do anything about it."
400 Days,2015, ,4.4,,"Mystery, Sci-Fi, Thriller",Mystery, Sci-Fi, Thriller,9100,Matt Osterman,91,0.00,"With their four-hundred-day mission simulation nearing completion, four astronauts begin to feel that something is amiss."
42nd Street,1933, ,7.6,,"Comedy, Musical, Romance",Comedy, Musical, Romance,9231,Lloyd Bacon,89,2300000.00,"A director puts on what may be his last Broadway show and, at the last moment, a naive newcomer has to replace the star."
44 Inch Chest,2009, ,5.8,47,"Crime, Drama",Crime, Drama,,6222,Malcolm Venville,95,0.00,A jealous husband and his friends plot the kidnapping of his wife's lover with the intention of restoring his wounded ego.
45 Years,2015, ,7.1,94,"Drama, Romance",Drama, Romance,,26788,Andrew Haigh,91,4250000.00,A married couple preparing to celebrate their wedding anniversary receives shattering news that promises to forever change the course of their lives.
47 Metres Down,2017, ,5.6,52,"Adventure, Drama, Horror",Adventure, Drama, Horror,35527,Johannes Roberts,89,44310000.00,"Two sisters vacationing in Mexico are trapped in a shark cage at the bottom of the ocean. With less than an hour of oxygen left and great white sharks circling nearby, they must fight to survive."
47 Ronin,2013,175000000.00,6.3,28,"Action, Adventure, Drama",Action, Adventure, Drama,131945,Carl Rinsch,128,38360000.00,A band of samurai set out to avenge the death and dishonor of their master at the hands of a ruthless shogun.
48 Hrs.,1982, ,6.9,71,"Action, Comedy, Crime",Action, Comedy, Crime,60858,Walter Hill,96,78870000.00,"A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer."
5 Centimetres Per Second,2007, ,7.7,,"Animation, Drama, Romance",Animation, Drama, Romance,40886,Makoto Shinkai,63,0.00,"Told in three interconnected segments, we follow a young man named Takaki through his life as cruel winters, cold technology, and finally, adult obligations and responsibility converge to test the delicate petals of love."
5 Days of War,2011,12000000.00,5.6,31,"Action, Drama, War",Action, Drama, War,12939,Renny Harlin,113,20000.00,"A drama set centered around the war between Russia and Georgia, and focused on an American journalist, his cameraman, and a Georgian native who become caught in the crossfire."
5 to 7,2014, ,7.1,52,"Comedy, Drama, Romance",Comedy, Drama, Romance,15612,Victor Levin,95,120000.00,"An aspiring novelist enters into a relationship with a woman, though there's just one catch: She's married and the couple can only meet between the hours of 5 and 7 each evening."
50 First Dates,2004,75000000.00,6.8,48,"Comedy, Drama, Romance",Comedy, Drama, Romance,296289,Peter Segal,99,120910000.00,"Henry Roth is a man afraid of commitment up until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams, until he discovers she has short-term memory loss and forgets him the next day."
50/50,2011, ,7.7,72,"Comedy, Drama, Romance",Comedy, Drama, Romance,295343,Jonathan Levine,100,35010000.00,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease."
500 Days of Summer,2009, ,7.7,76,"Comedy, Drama, Romance",Comedy, Drama, Romance,429267,Marc Webb,95,32390000.00,"An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her."
5x2,2004, ,6.7,62,"Drama, Romance",Drama, Romance,,8201,Fran??ois Ozon,90,130000.00,Five stages in the romance between a woman and a man.
6 Bullets,2012, ,6.1,,"Action, Crime, Drama",Action, Crime, Drama,12855,Ernie Barbarash,115,0.00,An ex-mercenary known for finding missing children is hired by a mixed martial arts fighter whose daughter has been kidnapped.
